id,ref,product,rating,helpPos,helpAll,date,userId,infoTitle,infoText
"0","XX","B0002Q6362","5.0","0","0","September 10, 2014","A242DPUJL8GPGF","Five Stars","had to send it back I already had one"
"1","XX","B0002Q6362","2.0","0","0","September 7, 2014","AFZ547J7OV1Y2","Two Stars","lasted about one month."
"2","XX","B0002Q6362","1.0","0","0","August 12, 2014","A2P0JXM7W1S8E6","PooPoo","looks like crap, doesn't work, more like a toy - think do it yourself window tint - trust me - you will not get this to look good"
"3","XX","B0002Q6362","3.0","0","0","August 9, 2014","A307PNJFCN8OZ2","Directions were easy to follow however","Directions were easy to follow however, the last step - applying the color (filler) was difficult, not enough color to complete entire repairs."
"4","XX","B0002Q6362","2.0","0","0","August 1, 2014","A37Z0VVT0C7KNP","Might be good, but ...","I might have scored this product higher, but some of the patch materials were dried out - a condition the instuctions warn will cause failrue of the repair.  The package appeared to be sealed and tight, but the cheap plastic poys containing the colored patch material had loose-fitting lids that allowed the contents to dry. This is indeed what we have experienced - peeling of the surface.  I can't recommend this product."
"5","XX","B0002Q6362","1.0","0","0","July 27, 2014","A2JPWM7JQG9LU","One Star","Wasn't impressed"
"6","XX","B0002Q6362","5.0","0","0","July 18, 2014","A1TRWOD64JES70","Five Stars","It works like a charm!"
"7","XX","B0002Q6362","2.0","0","0","June 29, 2014","A2UO6H9EWHK4S9","leather repair kit did not work on my sofa.","This product did not work for me. First of all the glue did not stick no matter how hard I tried. I tried putting more glue but in the end I just gave up.  I would not recommend this product. My sofa still has the tear that looks so horrible and I am at a loss as to what to do to repair it."
"8","XX","B0002Q6362","5.0","1","1","June 22, 2014","A19BNZKZEUM89R","One happy customer!","I purchased this item to repair the claw marks on my dinning room chairs. Thanks Mr. Kitty! This product worked great and came with everything I needed to repair these unsightly imperfections. I was really worried about getting the color right since my dinning room chairs are a teal color. I mixed the green leather paint with a touch of black and the color came out perfect! If your leather furniture is damaged, this is the answer to your problem!"
"9","XX","B0002Q6362","4.0","0","0","June 19, 2014","A1CU1HI3JVBKNE","Glue is instant!!","This seems like it is going to work pretty well overall. I'm upset though because they don't tell you the glue is instant. I mean, as soon as the leather touches the sub-patch once the glue is applied, it bonds and there is no repositioning it. So I have puckered edges to my tear now. Puckered under so its not like I can trim off the edges. Hopefully I can make it look better with the repair compound. But if you get this know that the glue is absolutely instant! This should have made a great repair but because of the glue's properties it now looks pretty bad."
"10","XX","B0002Q6362","4.0","1","2","September 3, 2011","A1RV84N5C32Z0R","Decent but hard to match color","The patch itself was pretty easy and seems strong. Gives about a 2' x 2' patch of leather along with a patch the same size of a cloth you put underneath.  You use up the cloth with pretty much one small hole (needing at least 1/2' overlap in each direction.  You cut the leather to fit the hole & thus can possibly use it on numerous holes with another generic piece of cloth (I haven't tried tho). The hardest part is mixing the paint to match.  They have instructions for basic colors (ex: tan), but to get it to be the color you want is not for the faint of heart.  They might say, mix orange, yellow, white and brown.  Add more brown if this, add more yellow if this.  I sort of wish they'd show shades and give ratios to mix."
